year,origin,destination,trade_value
2000,ARG,ECU,64796811.0
2000,ARG,EGY,348917211.0
2000,ARG,ESP,957997953.0
2000,ARG,EST,1258066.0
2000,ARG,ETH,134858.0
2000,ARG,FIN,51193830.0
2000,ARG,FJI,539214.0
2000,ARG,FRA,559454891.0
2000,ARG,GAB,1183709.0
2000,ARG,GBR,291108926.0
2000,ARG,GEO,2075719.0
2000,ARG,GHA,1425452.0
2000,ARG,GIB,7466.0
2000,ARG,GMB,62928.0
2000,ARG,GNQ,4349723.0
2000,ARG,GRC,83019680.0
2000,ARG,GRD,237610.0
2000,ARG,GTM,35847886.0
2000,ARG,GUY,170652.0
2000,ARG,HKG,105537632.0
2000,ARG,HND,11169282.0
2000,ARG,HRV,4101937.0
2000,ARG,HTI,14644148.0
2000,ARG,HUN,11097718.0
2000,ARG,IDN,75189496.0
2000,ARG,IND,549942369.0
2000,ARG,IRL,27443557.0
2000,ARG,IRN,379727297.0
2000,ARG,IRQ,31448576.0
2000,ARG,ISL,596423.0
2000,ARG,ISR,71899329.0
2000,ARG,ITA,808805891.0
2000,ARG,JAM,12841849.0
2000,ARG,JOR,101001867.0
2000,ARG,JPN,385766594.0
2000,ARG,KAZ,1219248.0
2000,ARG,KEN,41637851.0
2000,ARG,KGZ,20454.0
2000,ARG,KHM,154592.0
2000,ARG,KNA,166278.0
2000,ARG,KOR,162608023.0
2000,ARG,KWT,20772646.0
2000,ARG,LAO,2700.0
2000,ARG,LBN,40716974.0
2000,ARG,LBR,1784082.0
2000,ARG,LBY,53734213.0
2000,ARG,LCA,169487.0
2000,ARG,LKA,4436287.0
2000,ARG,LTU,5410679.0
2000,ARG,LUX,9620821.0
2000,ARG,LVA,2704000.0
2000,ARG,MAC,266851.0
2000,ARG,MAR,87780707.0
2000,ARG,MDA,262253.0
2000,ARG,MDG,6705581.0
2000,ARG,MEX,349965994.0
2000,ARG,MKD,6892510.0
2000,ARG,MLI,152250.0
2000,ARG,MLT,4546741.0
2000,ARG,MMR,16469.0
2000,ARG,MNG,4255.0
2000,ARG,MOZ,6307813.0
2000,ARG,MRT,145843.0
2000,ARG,MUS,26003678.0
2000,ARG,MWI,1070917.0
2000,ARG,MYS,280723148.0
2000,ARG,MYT,93163.0
2000,ARG,NAM,3171065.0
2000,ARG,NER,455.0
2000,ARG,NGA,49834097.0
2000,ARG,NIC,3615767.0
2000,ARG,NLD,763724734.0
2000,ARG,NOR,32957835.0
2000,ARG,NPL,10482059.0
2000,ARG,NZL,62853236.0
2000,ARG,OMN,26969300.0
2000,ARG,PAK,50743733.0
2000,ARG,PAN,31729233.0
2000,ARG,PER,349746297.0
2000,ARG,PHL,19537156.0
2000,ARG,PNG,41615.0
2000,ARG,POL,52469271.0
2000,ARG,PRT,137055418.0
2000,ARG,PRY,597850688.0
2000,ARG,PSE,28350.0
2000,ARG,PYF,424092.0
2000,ARG,QAT,6835562.0
2000,ARG,ROU,14784919.0
2000,ARG,RUS,114709955.0
2000,ARG,SAU,46238395.0
2000,ARG,SCG,7685508.0
2000,ARG,SDN,43633865.0
2000,ARG,SEN,6417514.0
2000,ARG,SGP,42932984.0
2000,ARG,SLE,49250.0
2000,ARG,SLV,35827880.0
2000,ARG,SOM,464766.0
2000,ARG,SUR,538885.0
2000,ARG,SVK,3186332.0
2000,ARG,SVN,7996474.0
2000,ARG,SWE,61333250.0
2000,ARG,SWZ,9961.0
2000,ARG,SYC,1087.0
2000,ARG,SYR,63511816.0
2000,ARG,TGO,184368.0
2000,ARG,THA,190932102.0
2000,ARG,TKM,25297.0
2000,ARG,TTO,9533297.0
2000,ARG,TUN,72944773.0
2000,ARG,TUR,89956965.0
2000,ARG,TWN,85600834.0
2000,ARG,TZA,7441302.0
2000,ARG,UGA,1638026.0
2000,ARG,UKR,2185203.0
2000,ARG,URY,828030406.0
2000,ARG,USA,3184945750.0
2000,ARG,UZB,1172427.0
2000,ARG,VCT,3107487.0
2000,ARG,VEN,235468863.0
2000,ARG,VNM,32576690.0
2000,ARG,YEM,31772180.0
2000,ARG,ZAF,255684004.0
2000,ARG,ZMB,63100.0
