year,origin,destination,migrant_stock
2000,BGD,JPN,6904
2000,BGD,KWT,134755
2000,BGD,LBN,25064
2000,BGD,LBY,919
2000,BGD,LKA,164
2000,BGD,LTU,10
2000,BGD,LUX,26
2000,BGD,LVA,5
2000,BGD,MDV,5286
2000,BGD,MEX,12
2000,BGD,MLT,9
2000,BGD,MMR,1359
2000,BGD,MUS,313
2000,BGD,MYS,158149
2000,BGD,NAM,44
2000,BGD,NOR,485
2000,BGD,NPL,522
2000,BGD,NZL,1189
2000,BGD,OMN,177789
2000,BGD,PAN,13
2000,BGD,PRT,261
2000,BGD,QAT,52997
2000,BGD,SAU,351570
2000,BGD,SLV,6
2000,BGD,SVK,2
2000,BGD,SVN,3
2000,BGD,SWE,2891
2000,BGD,SYC,17
2000,BGD,TLS,122
2000,BGD,USA,92334
2000,BGR,ARG,290
2000,BGR,AUS,3025
2000,BGR,AUT,6277
2000,BGR,BEL,1904
2000,BGR,BLR,63
2000,BGR,BOL,16
2000,BGR,BRA,279
2000,BGR,CAN,8261
2000,BGR,CHE,2369
2000,BGR,CRI,54
2000,BGR,CUB,164
2000,BGR,CYP,2799
2000,BGR,CZE,4401
2000,BGR,DEU,51558
2000,BGR,DNK,675
2000,BGR,DOM,436
2000,BGR,ESP,21096
2000,BGR,FIN,421
2000,BGR,FRA,8541
2000,BGR,GEO,225
2000,BGR,GRC,38534
2000,BGR,HRV,262
2000,BGR,HUN,1429
2000,BGR,ISL,74
2000,BGR,ISR,19527
2000,BGR,ITA,8724
2000,BGR,LIE,24
2000,BGR,LTU,28
2000,BGR,LUX,96
2000,BGR,LVA,50
2000,BGR,MDA,174
2000,BGR,MEX,217
2000,BGR,MKD,938
2000,BGR,MLT,230
2000,BGR,MNE,74
2000,BGR,MNG,2
2000,BGR,NAM,41
2000,BGR,NIC,61
2000,BGR,NLD,1762
2000,BGR,NOR,787
2000,BGR,PAN,66
2000,BGR,POL,1577
2000,BGR,PRT,624
2000,BGR,ROU,20889
2000,BGR,RUS,8749
2000,BGR,SRB,1034
2000,BGR,SVK,1437
2000,BGR,SVN,183
2000,BGR,SWE,3464
2000,BGR,TUR,480265
2000,BGR,UKR,1983
2000,BGR,VEN,122
2000,BHR,ARE,771
2000,BHR,AUS,772
2000,BHR,BGD,20661
2000,BHR,BGR,4
2000,BHR,BOL,1
2000,BHR,CRI,1
2000,BHR,CYP,49
2000,BHR,DNK,95
2000,BHR,DOM,26
2000,BHR,EGY,349
2000,BHR,FIN,3
2000,BHR,GRC,26
2000,BHR,HUN,10
2000,BHR,ISL,1
2000,BHR,KWT,360
2000,BHR,LBY,712
2000,BHR,LKA,97
2000,BHR,LTU,1
2000,BHR,NAM,65
2000,BHR,NOR,18
2000,BHR,PSE,7971
2000,BHR,QAT,142
2000,BHR,SVK,2
2000,BHS,ATG,2
2000,BHS,AUS,264
2000,BHS,BGR,2
2000,BHS,BRB,64
2000,BHS,CRI,9
2000,BHS,CUW,84
2000,BHS,DMA,7
2000,BHS,DNK,9
2000,BHS,DOM,111
2000,BHS,FIN,3
2000,BHS,GRC,21
2000,BHS,GRD,27
2000,BHS,GUY,8
2000,BHS,HUN,5
2000,BHS,ISL,1
2000,BHS,JAM,713
2000,BHS,KNA,11
2000,BHS,LCA,10
2000,BHS,NAM,67
2000,BHS,NIC,45
2000,BHS,NOR,9
2000,BIH,AUS,28659
2000,BIH,AUT,138319
2000,BIH,BGR,54
2000,BIH,CAN,25683
2000,BIH,CHE,42038
2000,BIH,CYP,31
2000,BIH,CZE,1348
2000,BIH,DEU,155037
2000,BIH,DNK,18180
2000,BIH,DOM,7
2000,BIH,FIN,200
2000,BIH,GRC,363
2000,BIH,HRV,430399
2000,BIH,HUN,264
2000,BIH,ISL,18
2000,BIH,ITA,21512
2000,BIH,LBY,243
2000,BIH,LIE,419
2000,BIH,LTU,1
2000,BIH,LUX,2130
2000,BIH,LVA,3
2000,BIH,MKD,7614
2000,BIH,MLT,77
2000,BIH,MNE,32824
2000,BIH,NLD,515
2000,BIH,NOR,11573
2000,BIH,POL,3411
2000,BIH,PRT,44
2000,BIH,SRB,574192
2000,BIH,SVK,257
2000,BIH,SVN,77361
2000,BIH,SWE,51146
2000,BIH,VEN,20
2000,BLR,AUS,1357
2000,BLR,AZE,587
2000,BLR,BGR,307
2000,BLR,BOL,4
2000,BLR,CAN,4298
2000,BLR,CHN,522
2000,BLR,CRI,4
2000,BLR,CYP,154
2000,BLR,CZE,1114
2000,BLR,DNK,167
2000,BLR,EGY,316
2000,BLR,EST,14756
2000,BLR,FIN,32
2000,BLR,GEO,1059
2000,BLR,GRC,564
2000,BLR,HRV,83
2000,BLR,HUN,159
2000,BLR,ISL,1
2000,BLR,ISR,31019
2000,BLR,ITA,1676
2000,BLR,KAZ,29075
2000,BLR,KGZ,18775
2000,BLR,LBY,560
2000,BLR,LTU,56088
2000,BLR,LUX,38
2000,BLR,LVA,77583
2000,BLR,MDA,6024
2000,BLR,MLT,10
2000,BLR,NOR,108
2000,BLR,POL,109205
2000,BLR,PRT,131
2000,BLR,RUS,930977
2000,BLR,SRB,103
2000,BLR,SVK,140
2000,BLR,SVN,31
2000,BLR,TJK,720
2000,BLR,TKM,2158
2000,BLR,UKR,280687
2000,BLR,UZB,28456
2000,BLZ,ATG,11
2000,BLZ,AUS,48
2000,BLZ,BGR,1
2000,BLZ,BHS,13
2000,BLZ,BOL,922
2000,BLZ,CHL,27
2000,BLZ,CRI,106
