year,origin,destination,route_count
2014,BLR,LBN,1
2014,BLR,LTU,1
2014,BLR,LVA,2
2014,BLR,NLD,1
2014,BLR,POL,2
2014,BLR,RUS,12
2014,BLR,SWE,1
2014,BLR,TKM,1
2014,BLR,UKR,2
2014,BLZ,GTM,2
2014,BLZ,HND,2
2014,BLZ,MEX,2
2014,BLZ,SLV,1
2014,BLZ,USA,10
2014,BMU,CAN,2
2014,BMU,GBR,2
2014,BMU,USA,11
2014,BOL,ARG,2
2014,BOL,BRA,2
2014,BOL,CHL,3
2014,BOL,COL,1
2014,BOL,ESP,2
2014,BOL,PAN,1
2014,BOL,PER,8
2014,BOL,PRY,2
2014,BOL,USA,2
2014,BRA,AGO,2
2014,BRA,ARE,3
2014,BRA,ARG,29
2014,BRA,BOL,3
2014,BRA,BRB,1
2014,BRA,CAN,2
2014,BRA,CHE,1
2014,BRA,CHL,6
2014,BRA,COL,4
2014,BRA,CPV,1
2014,BRA,DEU,8
2014,BRA,DOM,4
2014,BRA,ECU,1
2014,BRA,ESP,8
2014,BRA,FRA,4
2014,BRA,GBR,3
2014,BRA,GUF,1
2014,BRA,ITA,4
2014,BRA,MAR,1
2014,BRA,MEX,2
2014,BRA,NLD,2
2014,BRA,PAN,7
2014,BRA,PER,10
2014,BRA,PRT,12
2014,BRA,PRY,5
2014,BRA,QAT,1
2014,BRA,SUR,1
2014,BRA,TGO,1
2014,BRA,URY,9
2014,BRA,USA,58
2014,BRA,VEN,3
2014,BRA,ZAF,2
2014,BRB,ATG,2
2014,BRB,BRA,1
2014,BRB,CAN,2
2014,BRB,DEU,1
2014,BRB,DMA,1
2014,BRB,GBR,5
2014,BRB,GRD,1
2014,BRB,GUY,1
2014,BRB,JAM,1
2014,BRB,LCA,1
2014,BRB,MTQ,1
2014,BRB,TTO,1
2014,BRB,USA,3
2014,BRB,VCT,1
2014,BRN,ARE,1
2014,BRN,AUS,1
2014,BRN,CHN,1
2014,BRN,HKG,2
2014,BRN,IDN,4
2014,BRN,MYS,7
2014,BRN,PHL,2
2014,BRN,SAU,1
2014,BRN,SGP,2
2014,BRN,THA,2
2014,BTN,BGD,1
2014,BTN,IND,3
2014,BTN,NPL,1
2014,BWA,KEN,1
2014,BWA,NAM,1
2014,BWA,ZAF,9
2014,BWA,ZMB,1
2014,BWA,ZWE,2
2014,CAF,CMR,2
2014,CAF,MAR,1
2014,CAN,ABW,2
2014,CAN,ARE,3
2014,CAN,ATG,2
2014,CAN,AUS,1
2014,CAN,AUT,3
2014,CAN,BEL,6
2014,CAN,BHS,4
2014,CAN,BMU,2
2014,CAN,BRA,2
2014,CAN,BRB,2
2014,CAN,CHE,8
2014,CAN,CHL,1
2014,CAN,CHN,12
2014,CAN,COL,2
2014,CAN,CRI,3
2014,CAN,CUB,27
2014,CAN,CYM,2
2014,CAN,DEU,19
2014,CAN,DNK,3
2014,CAN,DOM,14
2014,CAN,DZA,1
2014,CAN,EGY,1
2014,CAN,ESP,4
2014,CAN,ETH,1
2014,CAN,FRA,19
2014,CAN,GBR,41
2014,CAN,GLP,1
2014,CAN,GRC,2
2014,CAN,GRD,2
2014,CAN,GUY,2
2014,CAN,HKG,4
2014,CAN,HTI,1
2014,CAN,IRL,3
2014,CAN,ISL,2
2014,CAN,ISR,2
2014,CAN,ITA,8
2014,CAN,JAM,10
2014,CAN,JOR,3
2014,CAN,JPN,10
2014,CAN,KOR,4
2014,CAN,LCA,2
2014,CAN,MAR,1
2014,CAN,MEX,27
2014,CAN,MTQ,1
2014,CAN,NLD,10
2014,CAN,NZL,2
2014,CAN,PAK,3
2014,CAN,PAN,1
2014,CAN,PER,1
2014,CAN,PHL,1
2014,CAN,POL,2
2014,CAN,PRI,1
2014,CAN,PRT,9
2014,CAN,QAT,1
2014,CAN,RUS,2
2014,CAN,SAU,1
2014,CAN,SLV,1
2014,CAN,SPM,3
2014,CAN,TCA,2
2014,CAN,TTO,2
2014,CAN,TUN,1
2014,CAN,TWN,3
2014,CAN,USA,363
2014,CCK,CXR,1
2014,CHE,ARE,7
2014,CHE,AUT,11
2014,CHE,BEL,6
2014,CHE,BGR,1
2014,CHE,BIH,1
2014,CHE,BLR,1
2014,CHE,BRA,1
2014,CHE,CAN,8
2014,CHE,CHN,3
2014,CHE,CUB,1
2014,CHE,CYP,3
2014,CHE,CZE,4
2014,CHE,DEU,42
2014,CHE,DNK,7
2014,CHE,DOM,1
2014,CHE,DZA,1
2014,CHE,EGY,10
2014,CHE,ESP,42
2014,CHE,FIN,3
2014,CHE,FRA,21
2014,CHE,GBR,24
2014,CHE,GRC,9
2014,CHE,HKG,1
2014,CHE,HRV,8
2014,CHE,HUN,2
2014,CHE,IND,4
2014,CHE,IRL,3
2014,CHE,ISL,1
2014,CHE,ISR,5
2014,CHE,ITA,38
2014,CHE,JEY,2
2014,CHE,JOR,2
2014,CHE,JPN,2
2014,CHE,KEN,3
2014,CHE,KOR,1
2014,CHE,LBN,1
2014,CHE,LUX,2
2014,CHE,LVA,1
2014,CHE,MAR,5
2014,CHE,MKD,2
2014,CHE,MLT,3
2014,CHE,MNE,1
2014,CHE,NLD,5
2014,CHE,NOR,3
2014,CHE,OMN,2
2014,CHE,POL,7
2014,CHE,PRT,21
2014,CHE,QAT,3
2014,CHE,ROU,3
2014,CHE,RUS,6
2014,CHE,SAU,2
2014,CHE,SGP,3
2014,CHE,SRB,9
2014,CHE,SVN,2
2014,CHE,SWE,6
2014,CHE,THA,2
2014,CHE,TUN,6
2014,CHE,UKR,3
2014,CHE,USA,29
2014,CHE,ZAF,2
2014,CHL,ARG,10
2014,CHL,AUS,2
2014,CHL,BOL,3
2014,CHL,BRA,6
2014,CHL,CAN,1
2014,CHL,COL,2
2014,CHL,DOM,1
2014,CHL,ECU,2
2014,CHL,ESP,2
2014,CHL,FRA,2
2014,CHL,MEX,3
2014,CHL,NZL,2
2014,CHL,PAN,1
2014,CHL,PER,7
2014,CHL,PRY,2
2014,CHL,PYF,1
2014,CHL,URY,2
2014,CHL,USA,10
2014,CHL,VEN,1
2014,CHN,AGO,1
2014,CHN,ARE,14
2014,CHN,AUS,17
2014,CHN,AUT,2
2014,CHN,AZE,2
2014,CHN,BEL,2
2014,CHN,BGD,2
2014,CHN,BRN,1
2014,CHN,CAN,12
2014,CHN,CHE,3
2014,CHN,DEU,19
2014,CHN,DNK,3
2014,CHN,DZA,1
2014,CHN,EGY,4
2014,CHN,ESP,2
2014,CHN,ETH,6
2014,CHN,FIN,6
2014,CHN,FRA,10
2014,CHN,GBR,11
2014,CHN,GEO,1
2014,CHN,HKG,117
2014,CHN,IDN,13
2014,CHN,IND,6
2014,CHN,IRN,4
2014,CHN,ISR,2
2014,CHN,ITA,5
2014,CHN,JPN,140
2014,CHN,KAZ,7
2014,CHN,KEN,2
2014,CHN,KGZ,5
2014,CHN,KHM,11
2014,CHN,KOR,152
2014,CHN,LAO,5
2014,CHN,LKA,3
2014,CHN,MAC,46
2014,CHN,MDV,4
2014,CHN,MEX,1
2014,CHN,MMR,8
2014,CHN,MNG,4
2014,CHN,MNP,3
2014,CHN,MUS,2
2014,CHN,MYS,29
2014,CHN,NLD,13
2014,CHN,NPL,4
2014,CHN,NZL,3
2014,CHN,PAK,4
2014,CHN,PHL,13
2014,CHN,POL,2
2014,CHN,PRK,3
2014,CHN,QAT,6
2014,CHN,RUS,46
2014,CHN,SAU,2
2014,CHN,SGP,45
2014,CHN,SWE,2
2014,CHN,THA,73
2014,CHN,TJK,4
2014,CHN,TKM,1
2014,CHN,TWN,189
2014,CHN,USA,58
2014,CHN,UZB,4
2014,CHN,VNM,23
2014,CHN,ZAF,2
2014,CIV,BEL,4
2014,CIV,BEN,3
2014,CIV,BFA,8
2014,CIV,CMR,1
2014,CIV,DZA,1
2014,CIV,FRA,3
2014,CIV,GAB,1
2014,CIV,GHA,7
2014,CIV,GIN,2
2014,CIV,KEN,1
2014,CIV,LBR,1
2014,CIV,MAR,1
2014,CIV,MLI,2
2014,CIV,NGA,4
2014,CIV,SEN,3
2014,CIV,SLE,1
2014,CIV,TGO,5
2014,CIV,TUN,1
2014,CMR,BEL,9
2014,CMR,BEN,4
2014,CMR,CAF,2
2014,CMR,CIV,1
2014,CMR,ETH,2
2014,CMR,FRA,4
2014,CMR,GAB,5
2014,CMR,GNQ,5
2014,CMR,KEN,2
2014,CMR,MAR,2
2014,CMR,NGA,2
2014,CMR,SEN,1
2014,CMR,TCD,3
2014,CMR,TGO,1
2014,COK,AUS,1
2014,COK,NZL,3
2014,COK,PYF,2
2014,COK,USA,2
2014,COL,ABW,2
2014,COL,ARG,2
2014,COL,BOL,1
2014,COL,BRA,4
2014,COL,CAN,2
2014,COL,CHL,2
2014,COL,CRI,1
2014,COL,CUB,3
2014,COL,DEU,2
2014,COL,DOM,3
2014,COL,ECU,11
2014,COL,ESP,5
2014,COL,FRA,1
2014,COL,GTM,1
2014,COL,MEX,6
2014,COL,PAN,10
2014,COL,PER,4
2014,COL,PRI,1
2014,COL,SLV,3
2014,COL,USA,49
2014,COL,VEN,5
2014,COM,DJI,1
2014,COM,KEN,4
2014,COM,MDG,1
2014,COM,MYT,2
2014,COM,REU,1
2014,COM,TZA,1
2014,CPV,BRA,1
2014,CPV,DEU,5
2014,CPV,ESP,1
2014,CPV,FRA,3
2014,CPV,GBR,9
2014,CPV,GMB,1
2014,CPV,GNB,1
2014,CPV,LUX,1
2014,CPV,MAR,1
2014,CPV,NLD,2
2014,CPV,PRT,8
2014,CPV,SEN,2
2014,CPV,STP,1
2014,CPV,USA,1
2014,CRI,CAN,3
2014,CRI,COL,1
2014,CRI,DOM,1
2014,CRI,ESP,1
2014,CRI,GTM,4
2014,CRI,HND,5
2014,CRI,MEX,3
2014,CRI,NIC,3
2014,CRI,PAN,7
2014,CRI,PER,1
2014,CRI,SLV,2
2014,CRI,USA,36
2014,CUB,AGO,1
2014,CUB,ARG,1
2014,CUB,BHS,2
2014,CUB,CAN,29
2014,CUB,CHE,1
2014,CUB,COL,3
2014,CUB,CYM,1
2014,CUB,DEU,4
2014,CUB,DOM,2
2014,CUB,ECU,1
2014,CUB,ESP,2
2014,CUB,FRA,2
2014,CUB,GBR,2
2014,CUB,ITA,5
2014,CUB,JAM,1
2014,CUB,MEX,8
2014,CUB,MTQ,1
2014,CUB,NLD,1
2014,CUB,PAN,2
2014,CUB,PER,2
2014,CUB,RUS,3
2014,CUB,SLV,1
2014,CUB,VEN,3
2014,CXR,AUS,1
2014,CXR,CCK,1
2014,CYM,BHS,1
2014,CYM,CAN,2
2014,CYM,CUB,1
2014,CYM,HND,2
2014,CYM,JAM,1
2014,CYM,USA,16
2014,CYP,ARE,3
2014,CYP,AUT,3
2014,CYP,BEL,2
2014,CYP,BGR,4
2014,CYP,BHR,1
2014,CYP,BLR,1
2014,CYP,CHE,3
2014,CYP,DEU,8
2014,CYP,EGY,2
2014,CYP,FRA,3
2014,CYP,GBR,50
2014,CYP,GRC,12
2014,CYP,HUN,1
2014,CYP,ISR,3
2014,CYP,ITA,1
2014,CYP,JOR,1
2014,CYP,LBN,2
2014,CYP,LTU,1
2014,CYP,LVA,1
2014,CYP,MDA,1
2014,CYP,MLT,2
2014,CYP,NLD,3
2014,CYP,NOR,1
2014,CYP,POL,2
2014,CYP,QAT,1
2014,CYP,ROU,3
2014,CYP,RUS,11
2014,CYP,SRB,2
2014,CYP,SWE,2
2014,CYP,UKR,5
2014,CZE,ARE,2
2014,CZE,ARM,2
2014,CZE,AUT,1
2014,CZE,AZE,2
2014,CZE,BEL,4
2014,CZE,BGR,2
2014,CZE,BLR,2
2014,CZE,CHE,4
2014,CZE,DEU,14
2014,CZE,DNK,4
2014,CZE,ESP,16
2014,CZE,FIN,3
2014,CZE,FRA,16
2014,CZE,GBR,16
2014,CZE,GRC,5
2014,CZE,HRV,1
2014,CZE,HUN,2
2014,CZE,IRL,2
2014,CZE,ISR,4
2014,CZE,ITA,19
2014,CZE,KAZ,1
2014,CZE,KOR,2
2014,CZE,LTU,1
2014,CZE,LVA,2
2014,CZE,MLT,2
2014,CZE,NLD,5
2014,CZE,NOR,3
2014,CZE,POL,3
2014,CZE,PRT,2
2014,CZE,ROU,5
2014,CZE,RUS,24
2014,CZE,SRB,1
2014,CZE,SVK,4
2014,CZE,SVN,1
2014,CZE,SWE,5
2014,CZE,UKR,3
2014,CZE,UZB,1
2014,DEU,AGO,1
2014,DEU,ALB,2
2014,DEU,ARE,23
