top_k,ratio,combination,code,layers,n_layers,accuracy,matches,predicted,matched_countries
30,5:1,移住+貿易,MT,migration+trade,2,0.9333333333333333,28,"['USA', 'RUS', 'DEU', 'SAU', 'FRA', 'CAN', 'GBR', 'IND', 'AUS', 'ESP', 'ITA', 'UKR', 'ARE', 'HKG', 'PAK', 'JPN', 'CHN', 'JOR', 'MYS', 'IRN', 'NLD', 'SGP', 'CIV', 'TUR', 'CHE', 'BEL', 'THA', 'KAZ', 'ARG', 'KWT']","['ARE', 'AUS', 'BEL', 'CAN', 'CHE', 'CIV', 'DEU', 'ESP', 'FRA', 'GBR', 'HKG', 'IND', 'IRN', 'ITA', 'JOR', 'JPN', 'KAZ', 'KWT', 'MYS', 'NLD', 'PAK', 'RUS', 'SAU', 'SGP', 'THA', 'TUR', 'UKR', 'USA']"
20,5:1,移住+外交+航空,MDA,migration+diplomacy+aviation,3,0.95,19,"['USA', 'RUS', 'DEU', 'SAU', 'FRA', 'GBR', 'CAN', 'ESP', 'IND', 'AUS', 'ITA', 'ARE', 'UKR', 'PAK', 'JOR', 'JPN', 'MYS', 'IRN', 'TUR', 'HKG']","['ARE', 'AUS', 'CAN', 'DEU', 'ESP', 'FRA', 'GBR', 'HKG', 'IND', 'ITA', 'JOR', 'JPN', 'MYS', 'PAK', 'RUS', 'SAU', 'TUR', 'UKR', 'USA']"
30,5:1,移住+外交+航空,MDA,migration+diplomacy+aviation,3,0.9,27,"['USA', 'RUS', 'DEU', 'SAU', 'FRA', 'GBR', 'CAN', 'ESP', 'IND', 'AUS', 'ITA', 'ARE', 'UKR', 'PAK', 'JOR', 'JPN', 'MYS', 'IRN', 'TUR', 'HKG', 'CHN', 'CIV', 'CHE', 'BEL', 'SGP', 'NLD', 'THA', 'GRC', 'KAZ', 'ARG']","['ARE', 'AUS', 'BEL', 'CAN', 'CHE', 'CIV', 'DEU', 'ESP', 'FRA', 'GBR', 'HKG', 'IND', 'IRN', 'ITA', 'JOR', 'JPN', 'KAZ', 'MYS', 'NLD', 'PAK', 'RUS', 'SAU', 'SGP', 'THA', 'TUR', 'UKR', 'USA']"
20,5:1,移住+外交+貿易,MDT,migration+diplomacy+trade,3,0.9,18,"['USA', 'RUS', 'DEU', 'FRA', 'SAU', 'CAN', 'GBR', 'IND', 'AUS', 'ESP', 'ITA', 'UKR', 'ARE', 'JPN', 'PAK', 'HKG', 'CHN', 'JOR', 'MYS', 'IRN']","['ARE', 'AUS', 'CAN', 'DEU', 'ESP', 'FRA', 'GBR', 'HKG', 'IND', 'ITA', 'JOR', 'JPN', 'MYS', 'PAK', 'RUS', 'SAU', 'UKR', 'USA']"
30,5:1,移住+外交+貿易,MDT,migration+diplomacy+trade,3,0.9,27,"['USA', 'RUS', 'DEU', 'FRA', 'SAU', 'CAN', 'GBR', 'IND', 'AUS', 'ESP', 'ITA', 'UKR', 'ARE', 'JPN', 'PAK', 'HKG', 'CHN', 'JOR', 'MYS', 'IRN', 'NLD', 'BEL', 'SGP', 'TUR', 'CHE', 'CIV', 'THA', 'ARG', 'KAZ', 'AUT']","['ARE', 'AUS', 'BEL', 'CAN', 'CHE', 'CIV', 'DEU', 'ESP', 'FRA', 'GBR', 'HKG', 'IND', 'IRN', 'ITA', 'JOR', 'JPN', 'KAZ', 'MYS', 'NLD', 'PAK', 'RUS', 'SAU', 'SGP', 'THA', 'TUR', 'UKR', 'USA']"
20,5:1,移住+航空+貿易,MAT,migration+aviation+trade,3,0.9,18,"['USA', 'DEU', 'RUS', 'FRA', 'GBR', 'SAU', 'CAN', 'ESP', 'IND', 'ITA', 'AUS', 'ARE', 'UKR', 'JPN', 'CHN', 'HKG', 'PAK', 'NLD', 'MYS', 'JOR']","['ARE', 'AUS', 'CAN', 'DEU', 'ESP', 'FRA', 'GBR', 'HKG', 'IND', 'ITA', 'JOR', 'JPN', 'MYS', 'PAK', 'RUS', 'SAU', 'UKR', 'USA']"
30,5:1,移住+航空+貿易,MAT,migration+aviation+trade,3,0.8666666666666667,26,"['USA', 'DEU', 'RUS', 'FRA', 'GBR', 'SAU', 'CAN', 'ESP', 'IND', 'ITA', 'AUS', 'ARE', 'UKR', 'JPN', 'CHN', 'HKG', 'PAK', 'NLD', 'MYS', 'JOR', 'TUR', 'SGP', 'IRN', 'CHE', 'BEL', 'THA', 'CIV', 'MEX', 'KOR', 'GRC']","['ARE', 'AUS', 'BEL', 'CAN', 'CHE', 'CIV', 'DEU', 'ESP', 'FRA', 'GBR', 'HKG', 'IND', 'IRN', 'ITA', 'JOR', 'JPN', 'MYS', 'NLD', 'PAK', 'RUS', 'SAU', 'SGP', 'THA', 'TUR', 'UKR', 'USA']"
20,5:1,全レイヤー,ALL,migration+diplomacy+aviation+trade,4,0.9,18,"['USA', 'DEU', 'RUS', 'FRA', 'GBR', 'SAU', 'CAN', 'ESP', 'IND', 'ITA', 'AUS', 'ARE', 'UKR', 'CHN', 'JPN', 'PAK', 'HKG', 'NLD', 'MYS', 'TUR']","['ARE', 'AUS', 'CAN', 'DEU', 'ESP', 'FRA', 'GBR', 'HKG', 'IND', 'ITA', 'JPN', 'MYS', 'PAK', 'RUS', 'SAU', 'TUR', 'UKR', 'USA']"
30,5:1,全レイヤー,ALL,migration+diplomacy+aviation+trade,4,0.8666666666666667,26,"['USA', 'DEU', 'RUS', 'FRA', 'GBR', 'SAU', 'CAN', 'ESP', 'IND', 'ITA', 'AUS', 'ARE', 'UKR', 'CHN', 'JPN', 'PAK', 'HKG', 'NLD', 'MYS', 'TUR', 'BEL', 'JOR', 'IRN', 'SGP', 'CHE', 'THA', 'CIV', 'KOR', 'MEX', 'AUT']","['ARE', 'AUS', 'BEL', 'CAN', 'CHE', 'CIV', 'DEU', 'ESP', 'FRA', 'GBR', 'HKG', 'IND', 'IRN', 'ITA', 'JOR', 'JPN', 'MYS', 'NLD', 'PAK', 'RUS', 'SAU', 'SGP', 'THA', 'TUR', 'UKR', 'USA']"
20,3:1,移住のみ,M,migration,1,0.9,18,"['USA', 'RUS', 'SAU', 'DEU', 'FRA', 'CAN', 'IND', 'AUS', 'GBR', 'UKR', 'ESP', 'ARE', 'ITA', 'PAK', 'JOR', 'IRN', 'HKG', 'MYS', 'CIV', 'JPN']","['ARE', 'AUS', 'CAN', 'DEU', 'ESP', 'FRA', 'GBR', 'HKG', 'IND', 'ITA', 'JOR', 'JPN', 'MYS', 'PAK', 'RUS', 'SAU', 'UKR', 'USA']"
