year,origin,destination,route_count
2000,BRB,ATG,2
2000,BRB,BRA,1
2000,BRB,CAN,2
2000,BRB,DEU,1
2000,BRB,DMA,1
2000,BRB,GBR,5
2000,BRB,GRD,1
2000,BRB,GUY,1
2000,BRB,JAM,1
2000,BRB,LCA,1
2000,BRB,MTQ,1
2000,BRB,TTO,1
2000,BRB,USA,3
2000,BRB,VCT,1
2000,BRN,ARE,1
2000,BRN,AUS,1
2000,BRN,CHN,1
2000,BRN,HKG,2
2000,BRN,IDN,4
2000,BRN,MYS,7
2000,BRN,PHL,2
2000,BRN,SAU,1
2000,BRN,SGP,2
2000,BRN,THA,2
2000,BTN,BGD,1
2000,BTN,IND,3
2000,BTN,NPL,1
2000,BWA,KEN,1
2000,BWA,NAM,1
2000,BWA,ZAF,9
2000,BWA,ZMB,1
2000,BWA,ZWE,2
2000,CAN,ABW,2
2000,CAN,ARE,3
2000,CAN,ATG,2
2000,CAN,AUS,1
2000,CAN,AUT,3
2000,CAN,BEL,6
2000,CAN,BHS,4
2000,CAN,BMU,2
2000,CAN,BRA,2
2000,CAN,BRB,2
2000,CAN,CHE,8
2000,CAN,CHL,1
2000,CAN,CHN,12
2000,CAN,COL,2
2000,CAN,CRI,3
2000,CAN,CUB,27
2000,CAN,CYM,2
2000,CAN,DEU,19
2000,CAN,DNK,3
2000,CAN,DOM,14
2000,CAN,DZA,1
2000,CAN,EGY,1
2000,CAN,ESP,4
2000,CAN,ETH,1
2000,CAN,FRA,19
2000,CAN,GBR,41
2000,CAN,GLP,1
2000,CAN,GRC,2
2000,CAN,GRD,2
2000,CAN,GUY,2
2000,CAN,HKG,4
2000,CAN,HTI,1
2000,CAN,IRL,3
2000,CAN,ISL,2
2000,CAN,ISR,2
2000,CAN,ITA,8
2000,CAN,JAM,10
2000,CAN,JOR,3
2000,CAN,JPN,10
2000,CAN,KOR,4
2000,CAN,LCA,2
2000,CAN,MAR,1
2000,CAN,MEX,27
2000,CAN,MTQ,1
2000,CAN,NLD,10
2000,CAN,NZL,2
2000,CAN,PAK,3
2000,CAN,PAN,1
2000,CAN,PER,1
2000,CAN,PHL,1
2000,CAN,POL,2
2000,CAN,PRI,1
2000,CAN,PRT,9
2000,CAN,QAT,1
2000,CAN,RUS,2
2000,CAN,SAU,1
2000,CAN,SLV,1
2000,CAN,SPM,3
2000,CAN,TCA,2
2000,CAN,TTO,2
2000,CAN,TUN,1
2000,CAN,TUR,2
2000,CAN,TWN,3
2000,CAN,USA,363
2000,CHE,ARE,7
2000,CHE,AUT,11
2000,CHE,BEL,6
2000,CHE,BGR,1
2000,CHE,BIH,1
2000,CHE,BLR,1
2000,CHE,BRA,1
2000,CHE,CAN,8
2000,CHE,CHN,3
2000,CHE,CUB,1
2000,CHE,CYP,3
2000,CHE,CZE,4
2000,CHE,DEU,42
2000,CHE,DNK,7
2000,CHE,DOM,1
2000,CHE,DZA,1
2000,CHE,EGY,10
2000,CHE,ESP,42
2000,CHE,FIN,3
2000,CHE,FRA,21
2000,CHE,GBR,24
2000,CHE,GRC,9
2000,CHE,HKG,1
2000,CHE,HRV,8
2000,CHE,HUN,2
2000,CHE,IND,4
2000,CHE,IRL,3
2000,CHE,ISL,1
2000,CHE,ISR,5
2000,CHE,ITA,38
2000,CHE,JEY,2
2000,CHE,JOR,2
2000,CHE,JPN,2
2000,CHE,KEN,3
2000,CHE,KOR,1
2000,CHE,LBN,1
2000,CHE,LUX,2
2000,CHE,LVA,1
2000,CHE,MAR,5
2000,CHE,MKD,2
2000,CHE,MLT,3
2000,CHE,MNE,1
2000,CHE,NLD,5
2000,CHE,NOR,3
2000,CHE,OMN,2
2000,CHE,POL,7
2000,CHE,PRT,21
2000,CHE,QAT,3
2000,CHE,ROU,3
2000,CHE,RUS,6
2000,CHE,SAU,2
2000,CHE,SGP,3
2000,CHE,SRB,9
2000,CHE,SVN,2
2000,CHE,SWE,6
2000,CHE,THA,2
2000,CHE,TUN,6
2000,CHE,TUR,11
2000,CHE,UKR,3
2000,CHE,USA,29
2000,CHE,ZAF,2
2000,CHL,ARG,10
2000,CHL,AUS,2
2000,CHL,BOL,3
2000,CHL,BRA,6
2000,CHL,CAN,1
2000,CHL,COL,2
2000,CHL,DOM,1
2000,CHL,ECU,2
2000,CHL,ESP,2
2000,CHL,FRA,2
2000,CHL,MEX,3
2000,CHL,NZL,2
2000,CHL,PAN,1
2000,CHL,PER,7
2000,CHL,PRY,2
2000,CHL,PYF,1
2000,CHL,URY,2
2000,CHL,USA,10
2000,CHL,VEN,1
2000,CHN,AGO,1
2000,CHN,ARE,14
2000,CHN,AUS,17
2000,CHN,AUT,2
2000,CHN,AZE,2
2000,CHN,BEL,2
2000,CHN,BGD,2
2000,CHN,BRN,1
2000,CHN,CAN,12
2000,CHN,CHE,3
2000,CHN,DEU,19
2000,CHN,DNK,3
2000,CHN,DZA,1
2000,CHN,EGY,4
2000,CHN,ESP,2
2000,CHN,ETH,6
2000,CHN,FIN,6
2000,CHN,FRA,10
2000,CHN,GBR,11
2000,CHN,GEO,1
2000,CHN,HKG,117
2000,CHN,IDN,13
2000,CHN,IND,6
2000,CHN,IRN,4
2000,CHN,ISR,2
2000,CHN,ITA,5
2000,CHN,JPN,140
2000,CHN,KAZ,7
2000,CHN,KEN,2
2000,CHN,KGZ,5
2000,CHN,KHM,11
2000,CHN,KOR,152
2000,CHN,LAO,5
2000,CHN,LKA,3
2000,CHN,MAC,46
2000,CHN,MDV,4
2000,CHN,MEX,1
2000,CHN,MMR,8
2000,CHN,MNG,4
2000,CHN,MNP,3
2000,CHN,MUS,2
2000,CHN,MYS,29
2000,CHN,NLD,13
2000,CHN,NPL,4
2000,CHN,NZL,3
2000,CHN,PAK,4
2000,CHN,PHL,13
2000,CHN,POL,2
2000,CHN,PRK,3
2000,CHN,QAT,6
2000,CHN,RUS,46
2000,CHN,SAU,2
2000,CHN,SGP,45
2000,CHN,SWE,2
2000,CHN,THA,73
2000,CHN,TJK,4
2000,CHN,TKM,1
2000,CHN,TUR,7
2000,CHN,TWN,189
2000,CHN,USA,58
2000,CHN,UZB,4
2000,CHN,VNM,23
2000,CHN,ZAF,2
2000,CIV,BEL,4
2000,CIV,BEN,3
2000,CIV,BFA,8
2000,CIV,CMR,1
2000,CIV,DZA,1
2000,CIV,FRA,3
2000,CIV,GAB,1
2000,CIV,GHA,7
2000,CIV,GIN,2
2000,CIV,KEN,1
2000,CIV,LBR,1
2000,CIV,MAR,1
2000,CIV,MLI,2
2000,CIV,NGA,4
2000,CIV,SEN,3
2000,CIV,SLE,1
2000,CIV,TGO,5
2000,CIV,TUN,1
2000,CIV,TUR,1
2000,CMR,BEL,9
2000,CMR,BEN,4
2000,CMR,CIV,1
2000,CMR,ETH,2
2000,CMR,FRA,4
2000,CMR,GAB,5
2000,CMR,KEN,2
2000,CMR,MAR,2
2000,CMR,NGA,2
2000,CMR,SEN,1
2000,CMR,TCD,3
2000,CMR,TGO,1
2000,CMR,TUR,1
2000,COL,ABW,2
2000,COL,ARG,2
2000,COL,BOL,1
2000,COL,BRA,4
2000,COL,CAN,2
2000,COL,CHL,2
2000,COL,CRI,1
2000,COL,CUB,3
2000,COL,DEU,2
2000,COL,DOM,3
2000,COL,ECU,11
2000,COL,ESP,5
2000,COL,FRA,1
2000,COL,GTM,1
2000,COL,MEX,6
2000,COL,PAN,10
2000,COL,PER,4
2000,COL,PRI,1
2000,COL,SLV,3
2000,COL,USA,49
2000,COL,VEN,5
2000,COM,DJI,1
2000,COM,KEN,4
2000,COM,MDG,1
2000,COM,MYT,2
2000,COM,REU,1
2000,COM,TZA,1
2000,CRI,CAN,3
2000,CRI,COL,1
2000,CRI,DOM,1
2000,CRI,ESP,1
2000,CRI,GTM,4
2000,CRI,HND,5
2000,CRI,MEX,3
2000,CRI,NIC,3
2000,CRI,PAN,7
2000,CRI,PER,1
2000,CRI,SLV,2
2000,CRI,USA,36
2000,CUB,AGO,1
2000,CUB,ARG,1
2000,CUB,BHS,2
2000,CUB,CAN,29
2000,CUB,CHE,1
2000,CUB,COL,3
2000,CUB,CYM,1
2000,CUB,DEU,4
2000,CUB,DOM,2
2000,CUB,ECU,1
2000,CUB,ESP,2
2000,CUB,FRA,2
2000,CUB,GBR,2
2000,CUB,ITA,5
2000,CUB,JAM,1
2000,CUB,MEX,8
2000,CUB,MTQ,1
2000,CUB,NLD,1
2000,CUB,PAN,2
2000,CUB,PER,2
2000,CUB,RUS,3
2000,CUB,SLV,1
2000,CUB,VEN,3
2000,CYM,BHS,1
2000,CYM,CAN,2
2000,CYM,CUB,1
2000,CYM,HND,2
2000,CYM,JAM,1
2000,CYM,USA,16
2000,CYP,ARE,3
2000,CYP,AUT,3
2000,CYP,BEL,2
2000,CYP,BGR,4
2000,CYP,BHR,1
2000,CYP,BLR,1
2000,CYP,CHE,3
2000,CYP,DEU,8
2000,CYP,EGY,2
2000,CYP,FRA,3
2000,CYP,GBR,50
2000,CYP,GRC,12
2000,CYP,HUN,1
2000,CYP,ISR,3
2000,CYP,ITA,1
2000,CYP,JOR,1
2000,CYP,LBN,2
2000,CYP,LTU,1
2000,CYP,LVA,1
2000,CYP,MDA,1
2000,CYP,MLT,2
2000,CYP,NLD,3
2000,CYP,NOR,1
2000,CYP,POL,2
2000,CYP,QAT,1
2000,CYP,ROU,3
2000,CYP,RUS,11
2000,CYP,SRB,2
2000,CYP,SWE,2
2000,CYP,TUR,14
2000,CYP,UKR,5
2000,CZE,ARE,2
2000,CZE,ARM,2
2000,CZE,AUT,1
2000,CZE,AZE,2
2000,CZE,BEL,4
2000,CZE,BGR,2
2000,CZE,BLR,2
2000,CZE,CHE,4
2000,CZE,DEU,14
2000,CZE,DNK,4
2000,CZE,ESP,16
2000,CZE,FIN,3
2000,CZE,FRA,16
2000,CZE,GBR,16
2000,CZE,GRC,5
2000,CZE,HRV,1
2000,CZE,HUN,2
2000,CZE,IRL,2
2000,CZE,ISR,4
2000,CZE,ITA,19
2000,CZE,KAZ,1
2000,CZE,KOR,2
2000,CZE,LTU,1
2000,CZE,LVA,2
2000,CZE,MLT,2
2000,CZE,NLD,5
2000,CZE,NOR,3
2000,CZE,POL,3
2000,CZE,PRT,2
2000,CZE,ROU,5
2000,CZE,RUS,24
2000,CZE,SRB,1
2000,CZE,SVK,4
2000,CZE,SVN,1
2000,CZE,SWE,5
2000,CZE,TUR,2
2000,CZE,UKR,3
2000,CZE,UZB,1
2000,DEU,AGO,1
2000,DEU,ALB,2
2000,DEU,ARE,23
2000,DEU,ARG,1
2000,DEU,AUT,67
2000,DEU,AZE,3
2000,DEU,BEL,15
2000,DEU,BGR,11
2000,DEU,BHR,1
2000,DEU,BIH,4
2000,DEU,BLR,4
2000,DEU,BRA,8
2000,DEU,CAN,19
2000,DEU,CHE,42
2000,DEU,CHN,19
2000,DEU,COL,2
2000,DEU,CUB,4
2000,DEU,CYP,8
2000,DEU,CZE,14
2000,DEU,DNK,27
2000,DEU,DOM,7
2000,DEU,DZA,3
2000,DEU,EGY,18
2000,DEU,ESP,354
2000,DEU,EST,2
2000,DEU,ETH,2
2000,DEU,FIN,19
2000,DEU,FRA,84
2000,DEU,GBR,103
2000,DEU,GEO,1
2000,DEU,GGY,2
2000,DEU,GHA,1
2000,DEU,GRC,176
2000,DEU,HKG,3
2000,DEU,HRV,57
2000,DEU,HUN,11
2000,DEU,IND,14
2000,DEU,IRL,19
2000,DEU,IRN,5
2000,DEU,IRQ,5
2000,DEU,ISL,4
2000,DEU,ISR,12
2000,DEU,ITA,221
2000,DEU,JAM,1
2000,DEU,JEY,3
2000,DEU,JOR,7
2000,DEU,JPN,11
2000,DEU,KAZ,4
2000,DEU,KEN,2
2000,DEU,KOR,4
2000,DEU,KWT,2
2000,DEU,LBN,3
2000,DEU,LKA,1
2000,DEU,LTU,7
2000,DEU,LUX,9
2000,DEU,LVA,14
2000,DEU,MAR,20
2000,DEU,MDA,2
2000,DEU,MDV,1
2000,DEU,MEX,4
2000,DEU,MKD,5
2000,DEU,MLT,8
2000,DEU,MNE,2
2000,DEU,MUS,1
2000,DEU,MYS,3
2000,DEU,NAM,1
2000,DEU,NGA,4
2000,DEU,NLD,27
2000,DEU,NOR,26
2000,DEU,OMN,2
2000,DEU,POL,44
2000,DEU,PRI,1
2000,DEU,PRT,64
2000,DEU,QAT,9
2000,DEU,ROU,15
2000,DEU,RUS,46
2000,DEU,SAU,10
2000,DEU,SGP,7
2000,DEU,SRB,25
2000,DEU,SVN,4
2000,DEU,SWE,29
2000,DEU,SYC,1
2000,DEU,THA,4
2000,DEU,TJK,1
2000,DEU,TKM,1
2000,DEU,TTO,1
2000,DEU,TUN,32
2000,DEU,TUR,128
2000,DEU,TWN,1
2000,DEU,UKR,12
2000,DEU,USA,115
2000,DEU,UZB,1
2000,DEU,VEN,1
2000,DEU,VNM,4
2000,DEU,ZAF,6
2000,DJI,ARE,4
2000,DJI,COM,1
2000,DJI,ETH,5
2000,DJI,FRA,1
2000,DJI,KEN,2
2000,DJI,SAU,1
2000,DJI,SOM,5
2000,DJI,TUR,1
2000,DJI,YEM,3
2000,DMA,ATG,1
2000,DMA,BRB,1
2000,DMA,GLP,3
2000,DMA,PRI,4
2000,DMA,VCT,1
2000,DMA,VGB,2
2000,DNK,ARE,2
2000,DNK,AUT,5
2000,DNK,BEL,5
2000,DNK,BGR,1
2000,DNK,BIH,1
2000,DNK,CAN,3
2000,DNK,CHE,7
2000,DNK,CHN,3
2000,DNK,CZE,4
2000,DNK,DEU,26
2000,DNK,EGY,2
2000,DNK,ESP,31
2000,DNK,EST,2
2000,DNK,FIN,4
2000,DNK,FRA,12
2000,DNK,FRO,2
2000,DNK,GBR,22
2000,DNK,GRC,7
2000,DNK,GRL,1
2000,DNK,HRV,6
2000,DNK,HUN,3
2000,DNK,IRL,3
2000,DNK,ISL,4
2000,DNK,ISR,2
2000,DNK,ITA,21
2000,DNK,JPN,1
