year,origin,destination,diplomatic_relation,aviation_routes,migrant_stock,trade_value
2000,AND,ALB,,,,566.0
2000,AND,ARE,,,,1930.0
2000,AND,ARG,,,,44608.0
2000,AND,ATG,,,,206.0
2000,AND,AUT,,,,474297.0
2000,AND,BEL,6,,,231829.0
2000,AND,BGR,,,,127.0
2000,AND,BLR,,,,1186.0
2000,AND,BRA,,,,860.0
2000,AND,BRB,,,,381.0
2000,AND,CAN,,,10,547.0
2000,AND,CHE,,,,293982.0
2000,AND,CHL,,,,10170.0
2000,AND,CHN,,,,6965.0
2000,AND,CIV,,,,187.0
2000,AND,CMR,,,,114.0
2000,AND,COL,,,,8586.0
2000,AND,CRI,,,,237349.0
2000,AND,CUB,,,,663.0
2000,AND,CYP,,,,3923.0
2000,AND,CZE,,,,31028.0
2000,AND,DEU,,,,897054.0
2000,AND,DNK,,,1,9142.0
2000,AND,DOM,,,,54.0
2000,AND,DZA,,,,802011.0
2000,AND,ESP,6,,,28548209.0
2000,AND,EST,,,,14413.0
2000,AND,ETH,,,,8500.0
2000,AND,FIN,,,1,220.0
2000,AND,FRA,6,,,12655739.0
2000,AND,GBR,,,,245256.0
2000,AND,GIB,,,,41839.0
2000,AND,GRC,,,4,846586.0
2000,AND,GUY,,,,32.0
2000,AND,HKG,,,,1056915.0
2000,AND,HRV,,,,448.0
2000,AND,HUN,,,,1000.0
2000,AND,IDN,,,,142147.0
2000,AND,IND,,,,30612.0
2000,AND,IRL,,,,13194.0
2000,AND,ITA,,,,430179.0
2000,AND,KAZ,,,,14865.0
2000,AND,KNA,,,,764.0
2000,AND,KOR,,,,2253360.0
2000,AND,LBN,,,,191329.0
2000,AND,LTU,,,,75757.0
2000,AND,LUX,,,,1357.0
2000,AND,LVA,,,,50235.0
2000,AND,MAR,,,,980.0
2000,AND,MKD,,,,119138.0
2000,AND,MWI,,,,482.0
2000,AND,MYS,,,,273247.0
2000,AND,MYT,,,,131.0
2000,AND,NGA,,,,200947.0
2000,AND,NLD,,,,948143.0
2000,AND,NOR,,,3,346270.0
2000,AND,PER,,,,47308.0
2000,AND,POL,,,,49930.0
2000,AND,PRT,,,417,183898.0
2000,AND,ROU,,,,143007.0
2000,AND,RUS,,,,405418.0
2000,AND,SAU,,,,35531.0
2000,AND,SCG,,,,104.0
2000,AND,SDN,,,,7753.0
2000,AND,SEN,,,,95.0
2000,AND,SGP,,,,1989879.0
2000,AND,SVK,,,,50737.0
2000,AND,SVN,,,,8491.0
2000,AND,SWE,,,,63317.0
2000,AND,THA,,,,177740.0
2000,AND,TTO,,,,6218.0
2000,AND,TUR,,,,196484.0
2000,AND,TWN,,,,7618.0
2000,AND,TZA,,,,156744.0
2000,AND,UGA,,,,11229.0
2000,AND,URY,,,,18983.0
2000,AND,USA,6,,,825781.0
2000,AND,VEN,,,,6119.0
2000,AND,VNM,,,,8085.000000000001
2000,AND,ZAF,,,,31541.0
2000,ANT,ALB,,,,135757.0
2000,ANT,AND,,,,455.0
2000,ANT,ARM,,,,545652.0
2000,ANT,ATG,,,,37669904.0
2000,ANT,AUS,,,,160420.0
2000,ANT,AUT,,,,109722.0
2000,ANT,AZE,,,,3310.0
2000,ANT,BEL,,,,25852689.0
2000,ANT,BGR,,,,7779.0
2000,ANT,BHS,,,,47637749.0
2000,ANT,BLR,,,,12200.0
2000,ANT,BLZ,,,,20222252.0
2000,ANT,BOL,,,,639232.0
2000,ANT,BRA,,,,20706908.0
2000,ANT,BRB,,,,987050.0
2000,ANT,CAN,,,,21115001.0
2000,ANT,CHE,,,,986181.0
2000,ANT,CHN,,,,8.0
2000,ANT,CIV,,,,1819720.0
2000,ANT,COL,,,,1482992.0
2000,ANT,CPV,,,,1588.0
2000,ANT,CRI,,,,435967.0
2000,ANT,CUB,,,,23868455.0
2000,ANT,CYP,,,,8064.0
2000,ANT,CZE,,,,8316.0
2000,ANT,DEU,,,,37392433.0
2000,ANT,DMA,,,,67.0
2000,ANT,DNK,,,,2448.0
2000,ANT,ECU,,,,12538558.0
2000,ANT,ESP,,,,15204171.0
2000,ANT,EST,,,,133.0
2000,ANT,ETH,,,,1222031.0
2000,ANT,FRA,,,,92390535.0
2000,ANT,GBR,,,,20891974.0
2000,ANT,GIN,,,,179438.0
2000,ANT,GRC,,,,5479.0
2000,ANT,GRD,,,,1380599.0
2000,ANT,GUY,,,,6248171.0
2000,ANT,HKG,,,,402335.0
2000,ANT,HND,,,,65560496.0
2000,ANT,HUN,,,,10000.0
2000,ANT,IDN,,,,17165322.0
2000,ANT,IND,,,,142543.0
2000,ANT,IRL,,,,104636.0
2000,ANT,ITA,,,,6866650.0
2000,ANT,JAM,,,,9920242.0
2000,ANT,JPN,,,,3987693.0
2000,ANT,KNA,,,,1586220.0
2000,ANT,KOR,,,,92540.0
2000,ANT,LKA,,,,1415.0
2000,ANT,MEX,,,,7140256.0
2000,ANT,MWI,,,,1222.0
2000,ANT,MYT,,,,32.0
2000,ANT,NGA,,,,11662497.0
2000,ANT,NIC,,,,22476108.0
2000,ANT,NLD,,,,35549494.0
2000,ANT,NOR,,,,22895.0
2000,ANT,PAN,,,,56295538.0
2000,ANT,PER,,,,365635.0
2000,ANT,PHL,,,,753537.0
2000,ANT,POL,,,,156854.0
2000,ANT,PRT,,,,3290445.0
2000,ANT,PRY,,,,51094.0
2000,ANT,PYF,,,,674.0
2000,ANT,ROU,,,,1708697.0
2000,ANT,RUS,,,,623.0
2000,ANT,SDN,,,,110533.0
2000,ANT,SGP,,,,54406430.0
